"text","label","notes"
"I’d say so, but as an Aussie, I ain’t complaining 😉","Reaction/Opinion",""
"Yeah, New Zealand were robbed in 2019.","Reaction/Opinion",""
"I read this a few times thinking what is this guy on about?? Then I realised you must be talking about the Cricket World Cup.","Reaction/Opinion","Question mark is a misleading failure point for tool to differentiate between Reaction and Question tags"
"Love the optimism. This pointless junket is even below the European Super Cup or Football League Trophy in importance","Reaction/Opinion",""
"He won the 2016 Euros.","Analysis/Explanation",""
"#""You're right for Argentina absolutely not for Italy imo""","Reaction/Opinion","Ambiguity; not sure if this is a predictive or general response to another comment"
"The speed of thought to attempt that dummy is just beyond belief. Such a shame the ball didn't go in.","Reaction/Opinion",""
"Ireland 2002, came from behind and drew with Germany (finalists) in group stage, lost to Spain in penalty shoot out. Turkey and Korea losing semi finalists if I remember rightly. Big stretch to say Ireland would beat Brazil in final but one never knows. If only we'd had our best player on the team and not put walking his dog. /s","Analysis/Explanation","Confusion point: had minor prediction wordage but primarily an analysis"
"Croatia in 2018. They should've had more fight in them, considering the unlikelihood of them ever making it to another World Cup final game.","Reaction/Opinion",""
"South Africa in 1999.","Reaction/Opinion",""
"It's a golden generation. Pulisic, Adams, McKennie, Robinson, Richards, Reyna.... its a golden generation. There may be another one coming with guys like Cavan Sullivan, Julian Hall, Cole Campbell (06-09), but that doesn't mean this one isn't a golden generation too.","Reaction/Opinion","Ambuguity: minor prediction baked into the reaction"
"Completely agreed. This is the best generation of US players and it isn't even close. If they learned how to play well and solid football together, they're good enough to at least get to the quarters, and probably the semis if they got a decent matchup.","Prediction","Ambuguity: started off as a reaction but main purpose seems to be prediction"
"On an individual level, they have some excellent players. If they all learned how to play together, they could absolutely put forward a charge to the semifinals. Anything can happen from there.","Prediction",""
"What do you mean ""you have to go get them"". Like pick them up in person? Sorry I'm just learning about this RTB thing and no clue how it works!","Question",""
"Everyone? It fooled the goalkeeper yes not sure who else it fooled lol.","Question","Main purpose was question"
"AC will be better than Fan in June/July","Prediction",""
"With the 32 team bracket? I guess","Reaction/Opinion","Ambiguity: Wording is primarily questioning but purpose was a reaction/opinion"
"I’m not sure the whole window of opportunity concept applies as a big nation - France may have had a few close calls but their production line is so good that they will be able to compete at the next one and so on. I think Belgium and Croatia will struggle to rediscover their level of the last 10 years but otherwise it feels like you go into each World Cup fancying the same 7 or 8 sides to win (the odd non qualification from an Italy or Holland notwithstanding)","Prediction",""
"Italy and Argentina were better than France in those respective finals so it doesn't really matter.","Analysis/Explanation",""
"I was gonna say england but they always seem to have the required talent","Prediction",""
"Football is by far the biggest sport in all those countries.","Reaction/Opinion",""
"Literally Spain, France, Germany, Italy, Brazil etc... All are powerhouses in Basketball and football, some are also very good at volleyball or handball too and France is good at practically every team sports like rugby. So sorry Australia isn't very unique","Reaction/Opinion",""
"Non regular answer but France. Why France ? My country never lost a world cup final, played four finals but has only 2 stars. Lost two penalties shootout. For more regular answers definitely Belgium, Hungary or Sweden","Analysis/Explanation",""
"HE probably will not play the full length of the game ! Just enter for critical parts of the game. Motivate team.","Prediction",""
"Spain had a good team , they dominated ball possession in that tournament. Won by pressure and giving less opportunity to the opponent. Germany was like a train trying to run down opponents with the distance and speed.","Analysis/Explanation",""
"I don’t know if Brazil is really a right answer cause they will always be contenders. Belgium, Croatia et al maybe not so much.","Prediction",""
"He won best or second best player in the Championship ! BUT never won a championship with his country team. Meanwhile won a lot of championships against Messi and lost to Messi too ! Different player, different style. Messi got intence situation awareness + tricks ! Ronaldo got , speed and intence focus on the goal. More focus on the goal, but less trick skill, so he basically like a machine marching towards the goal , If he sees a path to score. You can see it , Rolando often starts running from the middle field , If he sees a goal. Often outruns opponents with athletic ability. Messi is like OK, one step here, one step there, turn around, pass, pass, look to team player , OK false kick, turn , bum bam ball into the net ! If Messi has a team player to run in a pack of two, they combine into what Rolando never could beat. NO judging. Enjoy both players play !","Analysis/Explanation",""
"There's absolutely fuck all at stake! Nobody cares about this mickey mouse tournament.","Reaction/Opinion",""
"I always think of Belgium. They had ridiculous talent a few years back.","Reaction/Opinion",""
"I watched the whole match last year. Pele had a bad game. Testao (I probably spelled it wrong) was excellent","Reaction/Opinion",""
"Sorry guess I was thinking about 90 minutes. Should have also included Algeria","Reaction/Opinion",""
"Is that next to SodaSopa?","Question",""
"Bulgaria 1994. We could have done it, but didn't believe it strong enough.","Reaction/Opinion",""
